id,preference
2410.1285,like
2408.05646,like
2410.23214,like
2312.03732,like
2307.13365,like
2502.13533,like
2410.10254,like
2502.0579,like
2006.04768,like
2501.15225,like
2304.11062,dislike
2411.07641,like
2503.04355,like
2504.15777,like
2306.05176,like
2404.04522,like
2406.10251,like
2407.11239,like
2406.1874,like
2504.14047,like
2311.03839,like
2504.13173,like
2410.13413,like
2504.16884,like
2504.16078,like
2305.13048,like
2504.16574,dislike
2504.1778,like
2504.15895,like
2410.05864,like
2402.15613,like
2503.18216,like
2504.15466,like
2501.17039,like
2407.02694,like
2504.12459,like
2407.0945,like
2504.05343,dislike
2504.15208,like
2504.13644,like
2504.16379,like
2504.16871,like
2504.16053,like
2210.15191,like
2504.15965,like
2412.15287,dislike
2411.07635,like
2504.15477,like
2504.17565,like
2409.14846,dislike
2504.13818,like
2410.17195,like
2104.09864,like
2406.17808,dislike
2504.16795,dislike
2504.13752,like
2312.04528,dislike
2410.14731,like
2406.0212,dislike
2407.00075,like
2403.0159,dislike
2504.13822,like
2409.05816,dislike
2410.19572,dislike
2409.20089,dislike
2504.16312,dislike
2410.10728,dislike
1809.08826,dislike
2201.03327,dislike
2504.15471,dislike
2410.01523,like
2405.15525,dislike
2410.08109,dislike
2406.09179,dislike
2406.12832,dislike
2504.15302,dislike
2403.07378,dislike
2503.10501,dislike
1809.10853,dislike
2504.15432,dislike
2501.13598,dislike
2312.16594,dislike
2502.00718,like
2501.06252,like
2403.08632,like
2410.18779,like
2501.10069,like
2501.14278,like
2502.04485,like
2310.02575,like
2501.15857,like
2410.05434,like
2411.03687,like
2406.07515,like
2403.1038,like
2409.19151,like
2306.1487,like
2410.08968,like
2502.03685,like
2501.17703,like
2212.09849,like
2410.03968,like
2412.19437,like
2402.033,like
2402.02392,like
2402.04477,like
2406.11617,like
2503.00653,like
2407.12878,like
2410.14516,like
2503.2437,like
2411.01894,like
2402.0007,like
2408.03092,like
2501.01005,like
2407.14985,like
2412.09945,like
2403.00199,like
2504.02495,like
2410.02064,like
2403.0544,like
2503.02463,like
2501.12599,like
2407.0288,like
2311.03099,like
2412.08821,like
2406.11014,like
2410.1364,like
2406.15057,like
2410.04814,like
2401.02412,like
2501.13545,like
2405.07813,like
2408.07055,like
2504.11336,like
2307.13269,like
2407.06322,like
2407.06089,like
2312.04339,like
2501.09522,like
2111.09832,like
2501.08313,like
2401.06416,like
2312.06795,like
2310.12808,like
2203.05482,like
2403.19522,like
2410.13788,like
2408.09632,like
2406.19501,like
2410.01131,like
2405.17931,like
2310.04742,like
2410.02396,like
2410.02396,like
2410.1087,like
2405.07987,like
2409.17407,like
2503.00808,like
2303.06628,like
2410.12361,like
2311.07919,like
2407.10759,like
2502.1751,like
2401.11824,like
2411.19865,like
2504.11337,like
2411.03349,like
2408.03314,like
2406.12034,like
2406.15927,like
2501.17161,like
2305.06329,like
2408.10174,like
2502.00341,like
2405.16406,like
2410.09008,like
2502.14776,like
2410.09724,like
2501.1112,like
2504.03234,like
2501.18585,like
2501.00663,like
2408.10914,like
2501.00061,like
2406.17808,like
2407.01082,like
2310.06452,like
2503.22655,like
2503.18942,like
2405.19103,like
2408.16532,like
2312.08977,like
2410.18745,like
2410.10814,like
2409.08813,like
2305.03053,like
2311.136,like
2411.06568,like